query_id,query_text,top5_latest_relevant_dates,top5_latest_relevant_months,top5_latest_all_before_window_start
7028b649b77f6ca3ff7b4170b9c27658,informal settlements and waste disposal,"2020-01-01, 2017-01-01","2020-01, 2017-01",True
721f5289656546b698a36571b2d86c4b,cold chain logistics for pharmaceuticals,"2024-12-31, 2024-12-19, 2024-07-01, 2024-01-01, 2024-01-01","2024-12, 2024-12, 2024-07, 2024-01, 2024-01",True
7583b65656affbcc148b545b75dfc968,online food delivery services,"2024-01-01, 2023-12-13, 2023-02-06, 2022-12-26, 2021-04-11","2024-01, 2023-12, 2023-02, 2022-12, 2021-04",True
7fc59cf2e1511d45688b1b9e6c90b1f5,transducer and horn,"2024-07-15, 2023-10-26, 2019-12-31, 2018-08-28, 2018-01-01","2024-07, 2023-10, 2019-12, 2018-08, 2018-01",True
82cd19fadb27746d99d5e6d818097910,effect lime and silica on compaction test,"2018-01-01, 2016-01-01","2018-01, 2016-01",True
838027a4fcf857b3d4ddfeebf94faad6,literature review of antenatal assessment,"2017-11-01, 2013-01-22","2017-11, 2013-01",True
910db656ed939dbb0b017843db25e2b5,foreign aid,2013-09-01,2013-09,True
91fbd1574eab37719bf8b693b6f85628,mega construction projects,"2024-11-26, 2024-07-01, 2024-03-03, 2023-06-05, 2022-01-01","2024-11, 2024-07, 2024-03, 2023-06, 2022-01",True
9415292a51163e822f6347f57cdfd762,the impact of ai-generated art to the creativity of special program in the arts,2019-07-11,2019-07,True
980a8949538c372771a8e07536e98ddd,influenza 2020 up to date,"2021-06-09, 2021-01-01","2021-06, 2021-01",True
99f4fe5aef26841974824242f9099457,agro based mobile application paper,"2021-11-01, 2020-04-07, 2020-04-01, 2020-03-13, 2020-02-06","2021-11, 2020-04, 2020-04, 2020-03, 2020-02",True
9c6556134c7d06548f65d0e363b69f44,leisure activities,"2018-04-14, 2016-01-01, 2014-01-01","2018-04, 2016-01, 2014-01",True
9e8e1070b5a2631b490a235c3e49eea8,socio-economic status,"2025-01-21, 2024-01-01, 2021-01-01, 2019-04-01, 2019-01-01","2025-01, 2024-01, 2021-01, 2019-04, 2019-01",True
a3d4d31b531c0372a9ea7fa1ae0e7015,assam commitment of the armed forces,"2024-01-01, 2018-01-01, 2017-09-15, 2016-08-01, 2011-01-01","2024-01, 2018-01, 2017-09, 2016-08, 2011-01",True
a40f25e65758d13cbdc2f0053175e050,school based feeding program,"2023-06-07, 2020-05-30","2023-06, 2020-05",True
a55562e661e2a0b1a29185e00439402a,sleep deprivation,"2024-08-06, 2023-01-19, 2021-05-01, 2021-04-28, 2016-06-06","2024-08, 2023-01, 2021-05, 2021-04, 2016-06",True
a64207e4bf8ec20e09918f9831197c50,history and memory,"2019-01-01, 2018-01-01, 2012-04-30, 2012-01-25, 2010-01-01","2019-01, 2018-01, 2012-04, 2012-01, 2010-01",True
aaefb77ea38b942acc70b430c5a84078,disruptive students,"2022-06-29, 2020-01-01, 2019-12-31, 2019-01-01, 2015-01-01","2022-06, 2020-01, 2019-12, 2019-01, 2015-01",True
b0819a255ce068f1a6a079fe31f530b3,hydropower in india,"2024-01-01, 2023-12-01, 2022-10-07, 2022-05-31, 2021-04-08","2024-01, 2023-12, 2022-10, 2022-05, 2021-04",True
b2dd7a2e85f350103e0ad22796fb9b0a,cognitive coping mechanisms local literature,2012-01-01,2012-01,True
b5add364fa0fea003903862eb30c4ba1,marketing and ai,"2024-12-31, 2024-05-03, 2024-01-01, 2023-01-01, 2021-04-11","2024-12, 2024-05, 2024-01, 2023-01, 2021-04",True
b6e83d494701496aabe6a6b0f308dbd5,manhattan project,"2019-01-01, 2017-04-07, 2005-12-01","2019-01, 2017-04, 2005-12",True
b8d04877eb27228be265b3bf332ec1b4,job portal for disabilities,"2024-11-01, 2024-09-19, 2024-06-01, 2024-01-01, 2024-01-01","2024-11, 2024-09, 2024-06, 2024-01, 2024-01",True
ba1277eed48fe5fc09db5513b8c4be8b,the sufi as the axis of the world:,2016-01-01,2016-01,True
c5090df276f619e3516a862007a521d3,the long-term development of athletes,"2025-01-18, 2024-12-01, 2024-04-11, 2024-01-01, 2021-01-01","2025-01, 2024-12, 2024-04, 2024-01, 2021-01",True
c613c39de9464d090499baed3e86eec5,cocoa powder,"2024-07-26, 2023-06-30","2024-07, 2023-06",True
c62b2b80a8db46cbcb0866776a155ae9,pikalov military aircraft,"2023-12-01, 2023-01-01, 2023-01-01, 2014-01-01, 2012-06-16","2023-12, 2023-01, 2023-01, 2014-01, 2012-06",True
c95008170a16f8088d6b601bfdade573,biogas purification and caribbean,"2024-08-01, 2023-02-27, 2022-03-21, 2022-01-01, 2022-01-01","2024-08, 2023-02, 2022-03, 2022-01, 2022-01",True
cc613b02ecdaf8f4e2e025008eb8680c,ai in education,"2025-01-31, 2025-01-27, 2025-01-01, 2022-07-06, 2017-01-01","2025-01, 2025-01, 2025-01, 2022-07, 2017-01",True
cf5992cd1306b7aa71afb466b25f8195,stress management,"2019-07-01, 2019-02-22, 2019-01-01, 2019-01-01, 2018-10-01","2019-07, 2019-02, 2019-01, 2019-01, 2018-10",True
d40a44b633a216fc65484a60dadd48ac,utilizing llm to identify entities in natural language text,"2024-11-09, 2024-07-01, 2024-06-26, 2024-06-25, 2024-06-21","2024-11, 2024-07, 2024-06, 2024-06, 2024-06",True
d469026fee5ebf4230d3ec5f9501e621,apartment management system,"2022-01-01, 2022-01-01, 2016-01-01, 2016-01-01, 2006-01-01","2022-01, 2022-01, 2016-01, 2016-01, 2006-01",True
d540f26d75ef66d68559ad827a280fd9,benefits and drawbacks of telecommunication,"2017-01-01, 2010-01-01","2017-01, 2010-01",True
d57c8392cee04d71bf68efe07294f3c4,maladaptive decision making skills in hospitality students,"2023-12-28, 2020-01-01","2023-12, 2020-01",True
d606782194b6084ebfe957206e386d01,progesterone supplementation menopause,"2025-01-01, 2024-10-31, 2023-11-23, 2023-07-01, 2023-01-05","2025-01, 2024-10, 2023-11, 2023-07, 2023-01",True
d950d245c679cd89b456268c50b717f4,investigating learning preferences of students,2009-01-01,2009-01,True
dc1849c0ec8ffd02455d02e00a690950,visual and auditory learning styles,"2024-06-24, 2023-11-20, 2023-02-08","2024-06, 2023-11, 2023-02",True
dfe9c87036812c15b429bfaa041ee6c2,how indigenous wound healing is preserved passed through generations,"2022-07-16, 2019-02-11","2022-07, 2019-02",True
e54f68f74633d43b86d0247af6197544,mark twain,"2017-02-11, 2016-04-01, 2013-01-01, 2012-06-10, 2005-09-01","2017-02, 2016-04, 2013-01, 2012-06, 2005-09",True
e7abd0f60b9f4306e06dcd05a3cf8a34,impact of artificial intelligence,"2024-06-28, 2022-01-01","2024-06, 2022-01",True
e7c142a4da595b78d3b4066ebf5d34e3,gamification in education,"2024-03-01, 2021-01-01, 2018-01-01, 2017-10-17, 2016-03-30","2024-03, 2021-01, 2018-01, 2017-10, 2016-03",True
e874f77079e2943bfe8c7ab5985bba33,ai education,"2024-05-15, 2024-04-22, 2023-06-30, 2023-06-01, 2022-10-31","2024-05, 2024-04, 2023-06, 2023-06, 2022-10",True
e8ebed4fee9260028923885e9eb9a242,literacy and community,"2020-01-01, 2016-03-03, 2014-10-01, 2010-11-11, 2006-01-01","2020-01, 2016-03, 2014-10, 2010-11, 2006-01",True
eb0c676dd89c26b532399101064cf7d2,social interaction and the academic performance of students,"2024-01-01, 2021-12-07, 2021-08-14, 2020-09-01","2024-01, 2021-12, 2021-08, 2020-09",True
ebf4a2df691a9df61502f18150f2a9ee,online shopping,"2024-11-10, 2021-01-01, 2018-05-01, 2018-04-20, 2017-07-01","2024-11, 2021-01, 2018-05, 2018-04, 2017-07",True
ef401e491a89991d822ec491f94e3639,standardized testing,"2022-04-29, 2022-04-20, 2021-12-16, 2021-05-05, 2021-04-11","2022-04, 2022-04, 2021-12, 2021-05, 2021-04",True
ef8e207b13d16b374d21d649357dd43b,effects of technology on digital tools in learning,2024-06-01,2024-06,True
f2160ef29c1c99e11953a5465c7a10b3,working while studying,"2023-09-26, 2023-06-27, 2018-08-08, 2016-04-06","2023-09, 2023-06, 2018-08, 2016-04",True
f559875a4f4af463696bfef04c775147,diaspora,"2016-07-01, 2015-01-01, 2013-05-27, 2012-07-12, 2012-03-01","2016-07, 2015-01, 2013-05, 2012-07, 2012-03",True
f8170966870f22526a56eb87f181b12c,adapt climate change,"2022-05-31, 2022-03-21, 2021-01-01, 2020-06-18, 2015-06-15","2022-05, 2022-03, 2021-01, 2020-06, 2015-06",True
f86f41648ba908f4c469ef17802f0511,school marketing services,"2024-12-08, 2024-09-16, 2024-05-15, 2024-01-31, 2023-12-22","2024-12, 2024-09, 2024-05, 2024-01, 2023-12",True
f9ae0f99d7403b40d78e3d3d103d6a1c,freedom of speech,2020-03-09,2020-03,True
f9cfc9d84b800a51132ca858cc567e6e,supply chain covid 19,"2024-10-28, 2023-12-01, 2023-04-25, 2022-06-07, 2022-03-07","2024-10, 2023-12, 2023-04, 2022-06, 2022-03",True
faf500cb32740da36d22ed8e719f9484,relationship between technology and sleep,"2023-04-28, 2023-04-19, 2011-11-28","2023-04, 2023-04, 2011-11",True
fefe337967a82517f54ffed125c4b843,cultural intelligence,2019-01-01,2019-01,True
ff9451260a60844bedd2d4f42c434db4,tracer study of first batch of k-12 graduates,"2024-06-01, 2023-03-23, 2021-01-15","2024-06, 2023-03, 2021-01",True
